anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,Movie,1,2019,784368
7311,Suzumiya Haruhi no Shoushitsu,8.59,Movie,1,2010,636765
3786,Shin Evangelion Movie:||,8.58,Movie,1,2021,408376
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV,39,2018,1116149
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.58,Movie,1,2015,137642
877,Nana,8.57,TV,47,2006,744648
55823,Natsume Yuujinchou Shichi,8.57,TV,12,2024,52557
31757,Kizumonogatari II: Nekketsu-hen,8.56,Movie,1,2016,474937
32983,Natsume Yuujinchou Go,8.56,TV,11,2016,201019
10379,Natsume Yuujinchou San,8.56,TV,13,2011,267582
12355,Ookami Kodomo no Ame to Yuki,8.56,Movie,1,2012,850998
16498,Shingeki no Kyojin,8.56,TV,25,2013,4216348
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,Movie,1,1997,1002729
52034,[Oshi no Ko],8.56,TV,11,2023,976475
49701,Doupo Cangqiong: San Nian Zhi Yue,8.56,ONA,13,2021,10795
40776,Haikyuu!! To the Top Part 2,8.56,TV,12,2020,894454
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.55,Movie,1,2020,1696477
36098,Kimi no Suizou wo Tabetai,8.55,Movie,1,2018,1066953
437,Perfect Blue,8.55,Movie,1,1998,781111
28735,Shouwa Genroku Rakugo Shinjuu,8.55,TV,13,2016,307339
170,Slam Dunk,8.55,TV,101,1993,327493
59636,Uma Musume: Cinderella Gray,8.55,TV,13,2025,54210
7785,Yojouhan Shinwa Taikei,8.55,TV,11,2010,480665
55791,[Oshi no Ko] 2nd Season,8.55,TV,13,2024,462547
30484,Steins;Gate 0,8.54,TV,23,2018,928052
60543,Dandadan 2nd Season,8.54,TV,12,2025,351867
11741,Fate/Zero 2nd Season,8.54,TV,12,2012,1170288
40748,Jujutsu Kaisen,8.54,TV,24,2020,2863881
25777,Shingeki no Kyojin Season 2,8.53,TV,12,2017,2918419
5300,Zoku Natsume Yuujinchou,8.53,TV,13,2009,261958
40417,Fruits Basket 2nd Season,8.53,TV,25,2020,563262
578,Hotaru no Haka,8.53,Movie,1,1988,736529
12365,Bakuman. 3rd Season,8.52,TV,25,2012,343228
7472,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie,1,2010,173564
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,ONA,14,2022,264261
21329,Mushishi: Hihamukage,8.52,TV Special,1,2014,149512
205,Samurai Champloo,8.52,TV,26,2004,1314505
40664,Shoujo☆Kageki Revue Starlight Movie,8.51,Movie,1,2021,24457
35843,Gintama. Porori-hen,8.51,TV,13,2017,216230
4282,Kara no Kyoukai Movie 5: Mujun Rasen,8.51,Movie,1,2008,249150
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,TV,26,2004,237480
60544,Nezha Zhi Mo Tong Nao Hai,8.51,Movie,1,2025,5826
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV,39,2016,1215317
35839,Sora yori mo Tooi Basho,8.50,TV,13,2018,539900
38474,Yuru Camp△ Season 2,8.50,TV,13,2021,246192
